운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한
환경부(한국자동차환경협회),관악역 3환승 공영주차장 ,1,DC차데모+AC3상+DC콤보,경기도,안양시,경기도 안양시 만안구 석수1동 110-26 입구 맨끝 왼쪽,제한없음
환경부(한국자동차환경협회),구리남양주 교육지원청,1,DC콤보,경기도,남양주시,경기도 남양주시 경춘로 520,제한없음
환경부(한국자동차환경협회),구리남양주 교육지원청,2,DC콤보,경기도,남양주시,경기도 남양주시 경춘로 520,제한없음
환경부(한국자동차환경협회),구리남양주 교육지원청,3,DC콤보,경기도,남양주시,경기도 남양주시 경춘로 520,제한없음
환경부(한국자동차환경협회),구성동주민센터,1,DC콤보,경기도,용인시,경기도 용인시 기흥구 구성로77번길 17,제한없음
환경부(한국자동차환경협회),구성동주민센터,2,DC콤보,경기도,용인시,경기도 용인시 기흥구 구성로77번길 17,제한없음
환경부(한국자동차환경협회),국민건강보험공단 김포지사,21,DC콤보,경기도,김포시,경기도 김포시 태장로 795번길 137,제한없음
환경부(한국자동차환경협회),국민건강보험공단 김포지사,22,DC콤보,경기도,김포시,경기도 김포시 태장로 795번길 137,제한없음
환경부(한국자동차환경협회),그린환경센터 주민편익시설,1,DC콤보,경기도,화성시,경기도 화성시 봉담읍 하가등리 107-1,제한없음
환경부(한국자동차환경협회),금학공영주차장,11,DC콤보,경기도,용인시,경기도 용인시 처인구 용문로 140,제한없음
환경부(한국자동차환경협회),금학공영주차장,12,DC콤보,경기도,용인시,경기도 용인시 처인구 용문로 140,제한없음
환경부(한국자동차환경협회),기흥휴게소(부산방향),1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 기흥구 공세로 173 (공세동),제한없음
환경부(한국자동차환경협회),기흥휴게소(부산방향),2,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 기흥구 공세로 173 (공세동),제한없음
환경부(한국자동차환경협회),김포생활체육관,21,DC콤보,경기도,김포시,경기도 김포시 김포한강8로 198-3,제한없음
환경부(한국자동차환경협회),김포생활체육관,22,DC콤보,경기도,김포시,경기도 김포시 김포한강8로 198-3,제한없음
환경부(한국자동차환경협회),김포시 장기도서관,21,DC콤보,경기도,김포시,경기도 김포시 김포한강2로 42,제한없음
환경부(한국자동차환경협회),김포시 장기도서관,22,DC콤보,경기도,김포시,경기도 김포시 김포한강2로 42,제한없음
환경부(한국자동차환경협회),김포시민회관,21,DC콤보,경기도,김포시,경기도 김포시 사우중로 26,제한없음
환경부(한국자동차환경협회),김포시민회관,22,DC콤보,경기도,김포시,경기도 김포시 사우중로 26,제한없음
환경부(한국자동차환경협회),김포한강 야생조류생태공원 주자장,41,DC콤보,경기도,김포시,경기도 김포시 김포한강11로455,제한없음
환경부(한국자동차환경협회),김포한강 야생조류생태공원 주자장,42,DC콤보,경기도,김포시,경기도 김포시 김포한강11로455,제한없음
환경부(한국자동차환경협회),김포한강 야생조류생태공원 주자장,43,DC콤보,경기도,김포시,경기도 김포시 김포한강11로455,제한없음
환경부(한국자동차환경협회),김포한강 야생조류생태공원 주자장,44,DC콤보,경기도,김포시,경기도 김포시 김포한강11로455,제한없음
환경부(한국자동차환경협회),김포한강 야생조류생태공원 주자장,45,DC콤보,경기도,김포시,경기도 김포시 김포한강11로455,제한없음
환경부(한국자동차환경협회),남별내영업소,1,DC콤보,경기도,남양주시,경기도 남양주시 별내면 구리포천고속도로 11,제한없음
환경부(한국자동차환경협회),남별내영업소,2,DC콤보,경기도,남양주시,경기도 남양주시 별내면 구리포천고속도로 11,제한없음
환경부(한국자동차환경협회),남부수자원생태공원,11,DC콤보,경기도,부천시,경기도 부천시 연동로 89,제한없음
환경부(한국자동차환경협회),남부수자원생태공원,12,DC콤보,경기도,부천시,경기도 부천시 연동로 89,제한없음
환경부(한국자동차환경협회),남부치매안심센터,1,DC콤보,경기도,이천시,경기도 이천시 장호원읍 서동대로8809번길 30-15,제한없음
환경부(한국자동차환경협회),남부치매안심센터,2,DC콤보,경기도,이천시,경기도 이천시 장호원읍 서동대로8809번길 30-15,제한없음
환경부(한국자동차환경협회),남양읍사무소,11,DC콤보,경기도,화성시,경기도 화성시 남양읍 남양성지로 192-5,제한없음
환경부(한국자동차환경협회),남양읍사무소,12,DC콤보,경기도,화성시,경기도 화성시 남양읍 남양성지로 192-5,제한없음
환경부(한국자동차환경협회),남양주 시청,1,DC차데모+AC3상+DC콤보,경기도,남양주시,경기도 남양주시 금곡동 185-10 옥외 주차장,제한없음
환경부(한국자동차환경협회),남양주소방서,21,DC콤보,경기도,남양주시,경기도 남양주시 평내로 25,제한없음
환경부(한국자동차환경협회),남양주소방서,22,DC콤보,경기도,남양주시,경기도 남양주시 평내로 25,제한없음
환경부(한국자동차환경협회),노작공원,1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 노작로226-26,제한없음
