순서,모델명,용량,충전방식,충전타입,제조사
1,EVC+007,7,BC타입5핀(완속),완속,PNE시스템즈
2,EVC+007CB,7,BC타입5핀(완속),완속,PNE시스템즈
3,DCV-3FF200,50,DC차데모+DC콤보+AC3상(급속),급속,대영채비
4,BS-EVC-50,50,DC차데모+DC콤보+AC3상(급속),급속,보성파워텍
5,EVC+050T,50,DC차데모+DC콤보+AC3상(급속),급속,PNE시스템즈
6,FC50K-CCA-TR,50,DC차데모+DC콤보+AC3상(급속),급속,PNE시스템즈
7,JC-611B,7,BC타입5핀(완속),완속,중앙제어
8,JC-6333,50,DC차데모+DC콤보+AC3상(급속),급속,중앙제어
9,JC-6333-TM,50,DC차데모+DC콤보+AC3상(급속),급속,중앙제어
10,KMC-120BC,7,BC타입5핀(완속),완속,중앙제어
11,DKEVQC2,50,DC차데모+DC콤보+AC3상(급속),급속,시그넷시스템
12,FC50K-CCA,50,DC차데모+DC콤보+AC3상(급속),급속,시그넷시스템
13,FC50K-CCA-TR,50,DC차데모+DC콤보+AC3상(급속),급속,시그넷시스템
14,HB7K-EV-BC1,7,BC타입5핀(완속),완속,시그넷시스템
15,KL50-CCA-TR,50,DC차데모+DC콤보+AC3상(급속),급속,시그넷시스템
16,FC50K-CCA-TR,50,DC차데모+DC콤보+AC3상(급속),급속,클린일렉스
17,KL10-SD2,7,BC타입5핀(완속),완속,클린일렉스
18,KL10-SD2K,7,BC타입5핀(완속),완속,클린일렉스
19,KL50K-CCA-TR,50,DC차데모+DC콤보+AC3상(급속),급속,클린일렉스
20,AFT-SD2K,7,BC타입5핀(완속),완속,피앤씨주식회사
21,CUS-AC07KBC,7,BC타입5핀(완속),완속,피앤씨주식회사
22,DEC-AC07HCBR,7,BC타입5핀(완속),완속,피앤씨주식회사
23,PNC-AC07HCBRW,7,BC타입5핀(완속),완속,피앤씨주식회사
24,CUS-AC07KBC,7,BC타입5핀(완속),완속,도암엔지니어링
25,DEC-AC07HCBR,7,BC타입5핀(완속),완속,도암엔지니어링
26,DEC-AC07HCBRW,7,BC타입5핀(완속),완속,도암엔지니어링
27,CUS-AC07KBC,7,BC타입5핀(완속),완속,제원솔라주식회사
28,EVON50-J3TR,50,DC차데모+DC콤보+AC3상(급속),급속,제원솔라주식회사
29,EVON7-JCB,7,BC타입5핀(완속),완속,제원솔라주식회사
30,EVON7-JCBA,7,BC타입5핀(완속),완속,제원솔라주식회사
31,FC50K-CCA-TR,50,DC차데모+DC콤보+AC3상(급속),급속,제원솔라주식회사
32,DKEVQC2,50,DC차데모+DC콤보+AC3상(급속),급속,대경엔지니어링
33,DKEVQC6,50,DC차데모+DC콤보+AC3상(급속),급속,대경엔지니어링
34,FC50K-CCA,50,DC차데모+DC콤보+AC3상(급속),급속,대경엔지니어링
35,FC50K-CCA-TR,50,DC차데모+DC콤보+AC3상(급속),급속,대경엔지니어링
36,JC-6333,50,DC차데모+DC콤보+AC3상(급속),급속,대경엔지니어링
37,BE50-AD,50,DC차데모+DC콤보+AC3상(급속),급속,보타리에너지
38,EVON50-3TR,50,DC차데모+DC콤보+AC3상(급속),급속,보타리에너지
39,EVON7-CB(A),7,BC타입5핀(완속),완속,보타리에너지
40,EVON7-CBEC(BCB),7,BC타입5핀(완속),완속,보타리에너지
41,FC50K-CCA-TR,50,DC차데모+DC콤보+AC3상(급속),급속,보타리에너지
42,JC-6333,50,DC차데모+DC콤보+AC3상(급속),급속,보타리에너지
43,JC-611B,7,BC타입5핀(완속),완속,광명디앤씨
44,KMC-120BC,7,BC타입5핀(완속),완속,광명디앤씨
45,AFT-SD2,7,BC타입5핀(완속),완속,주식회사AFT
46,AFT-SD2K,7,BC타입5핀(완속),완속,주식회사AFT
47,KL10-SD2,7,BC타입5핀(완속),완속,주식회사AFT
48,CUS-200D,7,BC타입5핀(완속),완속,씨어스
49,CUS-AC07KBC,7,BC타입5핀(완속),완속,씨어스
50,CUSAC07-HCBRW,7,BC타입5핀(완속),완속,씨어스
51,JC-611B,7,BC타입5핀(완속),완속,가가전력
52,SG-6111BC,7,BC타입5핀(완속),완속,가가전력
53,SG-6933TM,50,DC차데모+DC콤보+AC3상(급속),급속,가가전력
54,JC-6333,50,DC차데모+DC콤보+AC3상(급속),급속,모던텍
55,MC-3C50T,50,DC차데모+DC콤보+AC3상(급속),급속,모던텍
56,MC-3P50DC-K,50,DC차데모+DC콤보+AC3상(급속),급속,모던텍
57,FC50K-CCA-TR,50,DC차데모+DC콤보+AC3상(급속),급속,보성파워텍
58,DM-3FT50,50,DC차데모+DC콤보+AC3상(급속),급속,대영채비
59,SEJIN-EV50-F,50,DC차데모+DC콤보+AC3상(급속),급속,세진엔지니어링
