운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
제주전기자동차서비스,경희마크329,1,AC완속,경기도,용인시,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),부분개방,흥구 서천로127번길 11-5(경희마크 329)
제주전기자동차서비스,경희마크329,2,AC완속,경기도,용인시,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),부분개방,흥구 서천로127번길 11-5(경희마크 329)
제주전기자동차서비스,경희마크329,3,AC완속,경기도,용인시,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),부분개방,흥구 서천로127번길 11-5(경희마크 329)
제주전기자동차서비스,경희마크329,4,AC완속,경기도,용인시,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),부분개방,흥구 서천로127번길 11-5(경희마크 329)
한국전력,가현마을신안아파트,1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 기흥구 구갈동 관곡로 53,시설 상황에 따라 이용이 제한될 수 있음,흥구 구갈동 관곡로 53
한국전력,경남아너스빌,1,AC완속,경기도,용인시,경기도 용인시 기흥구 영덕동 1117,입주자외 출입제한 (긴급상황 이용가능),흥구 영덕동 1117
한국전력,경남아너스빌,2,AC완속,경기도,용인시,경기도 용인시 기흥구 영덕동 1117,입주자외 출입제한 (긴급상황 이용가능),흥구 영덕동 1117
한국전력,경남아너스빌,3,AC완속,경기도,용인시,경기도 용인시 기흥구 영덕동 1117,입주자외 출입제한 (긴급상황 이용가능),흥구 영덕동 1117
한국전력,경남아너스빌,4,AC완속,경기도,용인시,경기도 용인시 기흥구 영덕동 1117,입주자외 출입제한 (긴급상황 이용가능),흥구 영덕동 1117
한국전력,경남아너스빌2차,1,AC완속,경기도,용인시,경기도 용인시 수지구 성복동 성복1로163번길 11,입주자외 출입제한 (긴급상황 이용가능),지구 성복동 성복1로163번길 11
한국전력,광교경남아너스빌,1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 수지구 상현동 광교마을로 2,시설 상황에 따라 이용이 제한될 수 있음,지구 상현동 광교마을로 2
한국전력,광교마을 45단지 아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 광교마을로 11,시설 상황에 따라 이용이 제한될 수 있음,지구 상현동 광교마을로 11
한국전력,광교마을 45단지 아파트,3,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 광교마을로 11,시설 상황에 따라 이용이 제한될 수 있음,지구 상현동 광교마을로 11
한국전력,광교마을46단지 광교스타클래스,1,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 법조로 252,시설 상황에 따라 이용이 제한될 수 있음,지구 상현동 법조로 252
한국전력,광교마을46단지 광교스타클래스,2,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 법조로 252,시설 상황에 따라 이용이 제한될 수 있음,지구 상현동 법조로 252
한국전력,교동마을 동양파라곤,1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 기흥구 마북동 마북로 140,시설 상황에 따라 이용이 제한될 수 있음,흥구 마북동 마북로 140
한국전력,교동마을 동양파라곤,2,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 마북로 140,시설 상황에 따라 이용이 제한될 수 있음,흥구 마북동 마북로 140
한국전력,교동마을 동양파라곤,3,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 마북로 140,시설 상황에 따라 이용이 제한될 수 있음,흥구 마북동 마북로 140
한국전력,교동마을쌍용,2,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 마북로154번길 23,시설 상황에 따라 이용이 제한될 수 있음,흥구 마북동 마북로154번길 23
한국전력,교동마을쌍용,3,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 마북로154번길 23,시설 상황에 따라 이용이 제한될 수 있음,흥구 마북동 마북로154번길 23
한국전력,구성역 효성해링턴플레이스,1,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 구성로53번길 20지하,시설 상황에 따라 이용이 제한될 수 있음,흥구 마북동 구성로53번길 20지하
한국전력,구성역 효성해링턴플레이스,2,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 구성로53번길 20지하,시설 상황에 따라 이용이 제한될 수 있음,흥구 마북동 구성로53번길 20지하
한국전력,금호베스트빌2단지아파트,1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 수지구 상현동 상현로 58지하,시설 상황에 따라 이용이 제한될 수 있음,지구 상현동 상현로 58지하
한국전력,금호베스트빌2단지아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 상현로 58지하,시설 상황에 따라 이용이 제한될 수 있음,지구 상현동 상현로 58지하
한국전력,금호베스트빌2단지아파트,3,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 상현로 58지하,시설 상황에 따라 이용이 제한될 수 있음,지구 상현동 상현로 58지하
한국전력,금화마을대우현대아파트,1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 기흥구 상갈동 금화로82번길 14,시설 상황에 따라 이용이 제한될 수 있음,흥구 상갈동 금화로82번길 14
한국전력,금화마을주공4단지,1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 기흥구 상갈동 금화로58번길 10,시설 상황에 따라 이용이 제한될 수 있음,흥구 상갈동 금화로58번길 10
한국전력,꽃메마을한라신영프로방스아파트,1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 수지구 죽전동 죽전로27번길 14-30,시설 상황에 따라 이용이 제한될 수 있음,지구 죽전동 죽전로27번길 14-30
한국전력,꽃메마을한라신영프로방스아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 죽전동 죽전로27번길 14-30,시설 상황에 따라 이용이 제한될 수 있음,지구 죽전동 죽전로27번길 14-30
한국전력,남사 현대글로비스(전용),1,DC콤보,경기도,용인시,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",인구 남사읍 경기동로 316(54-10 (주)리바트)
한국전력,남사 현대글로비스(전용),2,DC콤보,경기도,용인시,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",인구 남사읍 경기동로 316(54-10 (주)리바트)
한국전력,남사 현대글로비스(전용),3,DC콤보,경기도,용인시,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",인구 남사읍 경기동로 316(54-10 (주)리바트)
한국전력,남사 현대글로비스(전용),4,DC콤보,경기도,용인시,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",인구 남사읍 경기동로 316(54-10 (주)리바트)
한국전력,남사 현대글로비스(전용),5,DC콤보,경기도,용인시,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",인구 남사읍 경기동로 316(54-10 (주)리바트)
한국전력,남사 현대글로비스(전용),6,DC콤보,경기도,용인시,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",인구 남사읍 경기동로 316(54-10 (주)리바트)
한국전력,남사 현대글로비스(전용),7,DC콤보,경기도,용인시,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",인구 남사읍 경기동로 316(54-10 (주)리바트)
한국전력,남사 현대글로비스(전용),8,DC콤보,경기도,용인시,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",인구 남사읍 경기동로 316(54-10 (주)리바트)
한국전력,남사 현대글로비스(전용),9,DC콤보,경기도,용인시,경기도 용인시 처인구 남사읍 경기동로 316(54-10 (주)리바트),"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",인구 남사읍 경기동로 316(54-10 (주)리바트)
한국전력,대주피오레1단지,2,AC완속,경기도,용인시,경기도 용인시 기흥구 공세동 탑실로 15,시설 상황에 따라 이용이 제한될 수 있음,흥구 공세동 탑실로 15
